[[1, 0, 2, 3], [8, 5, 6, 7], [9, 4, 10, 11], [12, 13, 14, 15]] (7, 23) (7, 44)
[[1, 2, 6, 3], [4, 5, 10, 7], [8, 9, 11, 15], [12, 13, 14, 0]] (6, 10) (6, 19)
[[1, 2, 3, 7], [4, 9, 5, 6], [0, 8, 10, 11], [12, 13, 14, 15]] (8, 19) (8, 26)
[[1, 6, 5, 3], [4, 2, 10, 7], [8, 9, 11, 0], [12, 13, 14, 15]] (9, 17) (9, 34)
[[4, 2, 7, 6], [5, 0, 3, 11], [8, 1, 9, 10], [12, 13, 14, 15]] (14, 29) (14, 57)
[[1, 2, 6, 3], [4, 7, 13, 11], [12, 5, 0, 10], [14, 8, 9, 15]] (18, 48) (18, 112)
[[1, 5, 2, 3], [4, 6, 10, 7], [8, 9, 11, 0], [12, 13, 14, 15]] (5, 10) (5, 18)
[[4, 2, 3, 7], [5, 1, 0, 6], [8, 9, 10, 11], [12, 13, 14, 15]] (7, 14) (7, 22)
[[1, 0, 3, 7], [4, 2, 5, 6], [8, 9, 10, 11], [12, 13, 14, 15]] (7, 16) (7, 22)
[[1, 5, 2, 3], [4, 9, 11, 6], [8, 10, 0, 7], [12, 13, 14, 15]] (8, 17) (8, 42)
[[4, 1, 2, 3], [5, 0, 6, 7], [8, 13, 10, 11], [9, 12, 14, 15]] (8, 66) (8, 37)
[[1, 0, 2, 3], [4, 8, 6, 7], [9, 5, 10, 11], [12, 13, 14, 15]] (7, 36) (7, 24)
[[1, 2, 3, 7], [4, 5, 6, 11], [0, 9, 15, 14], [8, 12, 13, 10]] (14, 42) (14, 39)
[[1, 9, 5, 3], [4, 2, 0, 6], [8, 10, 14, 7], [12, 13, 15, 11]] (13, 31) (13, 68)
[[4, 1, 2, 3], [8, 0, 5, 6], [12, 9, 10, 7], [13, 14, 15, 11]] (10, 21) (10, 30)
[[4, 1, 2, 3], [5, 12, 6, 7], [8, 10, 14, 0], [13, 9, 15, 11]] (13, 215) (13, 67)
[[1, 5, 2, 3], [4, 6, 7, 11], [8, 9, 14, 10], [12, 0, 13, 15]] (8, 18) (8, 27)
[[4, 1, 6, 2], [5, 9, 0, 3], [8, 13, 10, 7], [12, 14, 15, 11]] (11, 19) (11, 34)
[[4, 1, 2, 3], [8, 5, 6, 7], [13, 12, 10, 0], [9, 14, 15, 11]] (11, 25) (11, 33)
[[1, 5, 2, 3], [0, 9, 6, 7], [4, 13, 10, 11], [8, 12, 14, 15]] (7, 11) (7, 22)
